1,FEC_ID,STATE,STATE_ABBREVIATION,GENERAL_ELECTION_DATE,FIRST_NAME,LAST_NAME,LAST_NAME_FIRST,TOTAL_VOTES,PARTY,GENERAL_RESULTS,TOTAL_VOTES,GENERAL_PERCT,WINNER_INDICATOR
2,P80003353,Alabama,AL,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,1255925,,60.55%,W
3,P80003338,Alabama,AL,11/6/2012,Barack,Obama,"Obama, Barack",,D,795696,,38.36%,
4,P20002671,Alabama,AL,11/6/2012,Gary,Johnson,"Johnson, Gary",,IND,12328,,0.59%,
5,n/a,Alabama,AL,11/6/2012,,Scattered,Scattered,,W,4011,,0.19%,
6,P20003984,Alabama,AL,11/6/2012,Jill,Stein,"Stein, Jill",,IND,3397,,0.16%,
7,P20004685,Alabama,AL,11/6/2012,"Virgil H., Jr.",Goode,"Goode, Virgil H., Jr.",,IND,2981,,0.14%,
9,P80003353,Alaska,AK,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,164676,,54.80%,W
10,P80003338,Alaska,AK,11/6/2012,Barack,Obama,"Obama, Barack",,D,122640,,40.81%,
11,P20002671,Alaska,AK,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,7392,,2.46%,
12,P20003984,Alaska,AK,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,2917,,0.97%,
13,n/a,Alaska,AK,11/6/2012,,Scattered,Scattered,,W,2870,,0.96%,
15,P80003353,Arizona,AZ,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,1233654,,53.65%,W
16,P80003338,Arizona,AZ,11/6/2012,Barack,Obama,"Obama, Barack",,D,1025232,,44.59%,
17,P20002671,Arizona,AZ,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,32100,,1.40%,
18,P20003984,Arizona,AZ,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,7816,,0.34%,
19,P20004685,Arizona,AZ,11/6/2012,Virgil,Goode,"Goode, Virgil",,W,289,,0.01%,
20,P20004263,Arizona,AZ,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,W,119,,0.01%,
21,P20003208,Arizona,AZ,11/6/2012,Jill,Reed,"Reed, Jill",,W,17,,0.00%,
