"","South_Dakota_Counties","Democrat","Republican","Others","Year","Voter_turnout_percent","dem_percent","rep_percent","others_percent","County_IND"
"1","Aurora",556,804,40,2012,75.05,40.8823529411765,59.1176470588235,2.94117647058824,1
"2","Beadle",2881,4230,152,2012,69.35,40.5146955421178,59.4853044578822,2.13753339895936,2
"3","Bennett",548,626,29,2012,64.92,46.6780238500852,53.3219761499148,2.47018739352641,3
"4","Bon Homme",1167,1830,77,2012,78.77,38.9389389389389,61.0610610610611,2.56923590256924,4
"5","Brookings",5826,6219,353,2012,67.05,48.3686176836862,51.6313823163138,2.93067662930677,5
"6","Brown",7249,8320,497,2012,69.62,46.5604727342797,53.4395272657203,3.1922409917143,6
"7","Brule",824,1499,56,2012,71.17,35.4713732242789,64.5286267757211,2.41067585019371,7
"8","Buffalo",472,166,3,2012,74.29,73.9811912225705,26.0188087774295,0.470219435736677,8
"9","Butte",1000,3068,133,2012,66.29,24.5821042281219,75.4178957718781,3.26941986234022,9
"10","Campbell",153,616,18,2012,66.17,19.8959687906372,80.1040312093628,2.3407022106632,10
"11","Charles Mix",1482,2229,51,2012,67.5,39.9353274050121,60.0646725949879,1.37429264349232,11
"12","Clark",713,1067,41,2012,71.36,40.0561797752809,59.9438202247191,2.30337078651685,12
"13","Clay",2955,2146,132,2012,63.9,57.9298176828073,42.0701823171927,2.58772789649088,13
"14","Codington",4588,6696,240,2012,69.51,40.6593406593407,59.3406593406593,2.1269053527118,14
"15","Corson",647,515,37,2012,50.31,55.6798623063683,44.3201376936317,3.184165232358,15
"16","Custer",1335,3062,123,2012,77.35,30.3616101887651,69.6383898112349,2.79736183761656,16
"17","Davison",3042,4754,172,2012,69.42,39.0200102616727,60.9799897383273,2.20625962031811,17
"18","Day",1497,1320,56,2012,69.78,53.1416400425985,46.8583599574015,1.98793042243521,18
"19","Deuel",941,1175,55,2012,73.87,44.4706994328923,55.5293005671078,2.5992438563327,19
"20","Dewey",1207,663,25,2012,62.05,64.5454545454545,35.4545454545455,1.33689839572193,20
"21","Douglas",332,1334,24,2012,75.09,19.9279711884754,80.0720288115246,1.4405762304922,21
"22","Edmunds",622,1264,50,2012,70.06,32.9798515376458,67.0201484623542,2.65111346765642,22
"23","Fall river",1137,2256,118,2012,69.73,33.5101679929266,66.4898320070734,3.47774830533451,23
"24","Faulk",331,765,31,2012,71.21,30.2007299270073,69.7992700729927,2.82846715328467,24
"25","Grant",1493,2034,79,2012,71.81,42.3305925715906,57.6694074284094,2.23986390700312,25
"26","Gregory",599,1507,45,2012,76.6,28.4425451092118,71.5574548907882,2.13675213675214,26
"27","Haakon",138,940,14,2012,80.52,12.8014842300557,87.1985157699443,1.2987012987013,27
"28","Hamlin",921,1803,69,2012,74.51,33.8105726872247,66.1894273127753,2.53303964757709,28
"29","Hand",575,1242,31,2012,74.42,31.6455696202532,68.3544303797468,1.70610897083104,29
"30","Hanson",760,1627,29,2012,67.6,31.8391286133222,68.1608713866778,1.21491411813992,30
"31","Harding",82,638,19,2012,78.96,11.3888888888889,88.6111111111111,2.63888888888889,31
"32","Hughes",2786,5219,150,2012,75.25,34.8032479700187,65.1967520299813,1.8738288569644,32
"33","Hutchinson",923,2451,51,2012,71.85,27.3562537048014,72.6437462951986,1.51155898043865,33
"34","Hyde",189,531,13,2012,72.07,26.25,73.75,1.80555555555556,34
"35","Jackson",426,661,19,2012,65.63,39.1904323827047,60.8095676172953,1.74793008279669,35
"36","Jerauld",452,538,16,2012,75.13,45.6565656565657,54.3434343434343,1.61616161616162,36
"37","Jones",108,490,11,2012,82.93,18.0602006688963,81.9397993311037,1.83946488294314,37
"38","Kingsbury",1092,1451,65,2012,75.34,42.9414077860794,57.0585922139206,2.55603617774282,38
"39","Lake",2724,3419,142,2012,71.35,44.3431548103532,55.6568451896468,2.31157414943839,39
"40","Lawerence",3973,7025,361,2012,68.84,36.1247499545372,63.8752500454628,3.28241498454264,40
"41","Lincoln",7982,13611,359,2012,73.91,36.9656833232992,63.0343166767008,1.66257583476127,41
"42","Lyman",605,933,31,2012,67.13,39.3368010403121,60.6631989596879,2.01560468140442,42
"43","Marshall",1061,899,37,2012,68.45,54.1326530612245,45.8673469387755,1.88775510204082,43
"44","McCook",905,1655,53,2012,70.9,35.3515625,64.6484375,2.0703125,44
"45","McPherson",272,921,22,2012,68.71,22.7996647108131,77.2003352891869,1.84409052808047,45
"46","Meade",2928,7560,323,2012,70.45,27.9176201372998,72.0823798627002,3.07971014492754,46
"47","Mellette",375,381,13,2012,64.82,49.6031746031746,50.3968253968254,1.71957671957672,47
"48","Miner",479,636,25,2012,69.81,42.9596412556054,57.0403587443946,2.24215246636771,48
"49","Minnehaha",34668,40330,1567,2012,70.01,46.2252326728713,53.7747673271287,2.08938905037468,49
"50","Moody",1429,1535,69,2012,74.07,48.2118758434548,51.7881241565452,2.32793522267206,50
"51","Pennington",15122,28229,1107,2012,69.83,34.8827016677816,65.1172983322184,2.55357431201126,51
"52","Perkins",319,1205,66,2012,74.84,20.9317585301837,79.0682414698163,4.33070866141732,52
"53","Potter",339,1029,13,2012,75,24.780701754386,75.219298245614,0.950292397660819,53
"54","Roberts",2302,1883,71,2012,66.26,55.0059737156511,44.9940262843489,1.69653524492234,54
"55","Sanbron",389,688,38,2012,69.06,36.1188486536676,63.8811513463324,3.52831940575673,55
"56","Shannon",2922,188,20,2012,41.12,93.9549839228296,6.04501607717042,0.643086816720257,56
"57","Spink",1300,1670,71,2012,71.77,43.7710437710438,56.2289562289562,2.39057239057239,57
"58","Stanely",435,1063,42,2012,78.1,29.0387182910547,70.9612817089453,2.80373831775701,58
"59","Sully",186,611,19,2012,77.75,23.3375156838143,76.6624843161857,2.38393977415307,59
"60","Todd",1976,498,23,2012,50.28,79.8706548100242,20.1293451899757,0.929668552950687,60
"61","Tripp",737,1905,49,2012,71.51,27.8955336866011,72.1044663133989,1.85465556396669,61
"62","Turner",1411,2715,84,2012,73.72,34.1977702375182,65.8022297624818,2.03587009209889,62
"63","Union",2782,4698,116,2012,70.48,37.192513368984,62.807486631016,1.55080213903743,63
"64","Walworth",671,1731,60,2012,65.54,27.9350541215654,72.0649458784346,2.49791840133222,64
"65","Yankton",4208,5468,253,2012,72.45,43.4890450599421,56.5109549400579,2.61471682513435,66
"66","Ziebach",439,314,8,2012,48.75,58.3001328021248,41.6998671978752,1.06241699867198,67
"67","Aurora",655,794,46,2008,76.91,45.2035886818496,54.7964113181504,3.17460317460317,1
"68","Beadle",3493,4054,167,2008,68.2,46.2832913740559,53.7167086259441,2.21279978799523,2
"69","Bennett",557,614,37,2008,57.06,47.5661827497865,52.4338172502135,3.1596925704526,3
"70","Bon Homme",1367,1712,96,2008,78.74,44.3975316661254,55.6024683338746,3.1178954205911,4
"71","Brookings",7207,6431,307,2008,72.78,52.8449919343012,47.1550080656988,2.25106320574864,5
"72","Brown",9041,8067,318,2008,73.56,52.8466214636427,47.1533785363573,1.85877951835399,6
